日期,平均温度 (°F),平均湿度 (%),平均露点(°F),平均气压（英寸）,平均风速（mph）,平均阵风速度（mph）,平均方向（°deg）,月降水量（in）年,降水量（in ）,每分钟最大雨量,最高温度（°F）,最低温度（°F）,最高湿度（％）,最低湿度（％）,最高压力,最低压力,最大风速（mph）,最大阵风速度（mph）,最大热量指数（°F）,日期,月份,压力差
7/18/2020,76.3,24,35.5,29.6,7.3,11.4,236,0.1,4.24,0,90.3,61.2,63,10,29.746,29.537,19.6,31.1,83.6,7/18/2020,7,0.209
7/17/2020,65.7,63,52.8,29.7,2.3,4.6,79,0.1,4.24,0,89.9,65.7,63,63,29.746,29.746,2.3,4.6,65.7,7/17/2020,7,0
7/15/2020,62.3,65,49.6,29.7,3.3,6,67,0.1,4.24,0,89.9,47.7,91,29,29.799,29.651,13.8,19.6,77.5,7/15/2020,7,0.148
7/16/2020,65.7,63,52.8,29.7,2.3,4.6,93,0.1,4.24,0,89.7,65.7,63,63,29.746,29.746,2.3,4.6,65.7,7/16/2020,7,0
7/14/2020,62.4,56,45.2,29.5,3.2,5.2,2,0.1,4.24,0,89.7,53.5,88,27,29.7,29.434,17.3,26.5,78.3,7/14/2020,7,0.266
7/13/2020,73.4,29,38.3,29.5,7.4,11.6,235,0.08,4.22,0,89.5,64.4,45,17,29.575,29.374,26.5,41.4,82.3,7/13/2020,7,0.201
7/12/2020,68.3,34,35.6,29.7,5.1,8.1,237,0.08,4.22,0,89.4,46,69,11,29.778,29.572,19.6,33.4,81.1,7/12/2020,7,0.206
7/11/2020,67,29,32.8,29.8,2.6,4.6,71,0.08,4.22,0,89.3,44.8,43,18,29.902,29.751,13.8,18.4,81.2,7/11/2020,7,0.151
7/9/2020,64.1,33,30.8,29.7,3.1,5.1,40,0.08,4.22,0,89.3,40.4,69,8,29.74,29.609,16.1,26.5,81.7,7/9/2020,7,0.131
7/10/2020,68.7,32,24.3,29.8,3.6,6,253,0.08,4.22,0,89.3,43.1,84,5,29.821,29.713,20.7,27.6,86.6,7/10/2020,7,0.108
7/8/2020,65.5,19,17.3,29.5,4.4,7,246,0.08,4.22,0,89.3,39.1,44,7,29.629,29.502,18.4,28.8,81.7,7/8/2020,7,0.127
7/7/2020,68.6,29,28.4,29.6,4.9,7.6,222,0.08,4.22,0,89.3,44.2,68,9,29.676,29.454,20.7,32.2,82.9,7/7/2020,7,0.222
7/6/2020,65.1,45,38.5,29.7,2.7,4.6,206,0.08,4.22,0,89,42.9,88,12,29.771,29.658,16.1,23,81.8,7/6/2020,7,0.113
7/5/2020,61,57,42.7,29.8,2.1,3.5,290,0.08,4.22,0,88.8,40.6,93,21,29.819,29.744,15,21.9,80.3,7/5/2020,7,0.075
7/4/2020,62.2,55,44,29.7,3.9,6.1,306,0.03,4.17,0,88.8,49.6,81,19,29.8,29.662,25.3,39.1,82.5,7/4/2020,7,0.138
7/2/2020,64.2,34,29.5,29.7,3.9,6.3,233,0,4.14,0,88.6,38.9,73,10,29.79,29.661,16.1,26.5,80.7,7/2/2020,7,0.129
7/3/2020,67.4,37,37.7,29.7,3.6,6.1,348,0,4.14,0,88.6,48.5,62,14,29.826,29.681,23,33.4,81.5,7/3/2020,7,0.145
7/1/2020,59.9,33,26.7,29.7,4.2,7.1,217,0,4.14,0,88.5,37.7,67,11,29.774,29.626,19.6,29.9,76.2,7/1/2020,7,0.148
6/30/2020,58.6,34,28.3,29.4,10.6,16,237,0.74,4.14,0,88.4,49.7,56,16,29.678,29.254,27.6,39.1,66.3,6/30/2020,6,0.424
6/29/2020,65.3,38,34.7,29.3,4,6.5,243,0.74,4.14,0,88.2,42.7,81,13,29.351,29.214,19.6,31.1,82.8,6/29/2020,6,0.137
6/28/2020,66.1,34,36.1,29.3,5.5,8.8,234,0.74,4.14,0,88,49.6,58,23,29.406,29.222,19.6,33.4,77.4,6/28/2020,6,0.184
6/27/2020,64.5,36,35.1,29.6,5.6,8.8,238,0.74,4.14,0,88,47.4,78,17,29.762,29.406,21.9,33.4,77.8,6/27/2020,6,0.356
6/24/2020,59.7,63,44.1,29.7,2.8,4.5,313,0.73,4.13,0,87.9,40.7,96,22,29.787,29.641,15,23,79.9,6/24/2020,6,0.146
6/25/2020,62.6,50,38.9,29.6,3.9,6.2,242,0.73,4.13,0,87.8,40.7,95,16,29.731,29.599,24.2,33.4,79.6,6/25/2020,6,0.132
6/26/2020,57.8,66,46,29.7,3,4.8,13,0.74,4.14,0,87.8,44,87,42,29.809,29.66,17.3,27.6,77.4,6/26/2020,6,0.149
6/22/2020,57.1,62,43.2,29.8,2.5,4.3,16,0.55,3.95,0,87.6,39.8,93,38,29.913,29.734,13.8,18.4,77.5,6/22/2020,6,0.179
6/23/2020,58.8,64,45.1,29.8,2.4,3.9,18,0.63,4.03,0,87.6,42,92,31,29.93,29.733,17.3,21.9,77.4,6/23/2020,6,0.197
6/20/2020,56.3,49,31.2,29.8,3.8,6.3,252,0.53,3.93,0,87.6,32.2,96,13,29.941,29.752,18.4,24.2,76.7,6/20/2020,6,0.189
6/21/2020,58.9,48,38,29.7,3.4,5.4,252,0.55,3.95,0,87.6,47.7,78,24,29.753,29.608,13.8,29.9,77,6/21/2020,6,0.145
6/19/2020,48.8,81,43.1,29.9,2.2,3.8,48,0.52,3.92,0,87.6,41.6,94,63,29.898,29.804,20.7,31.1,56.3,6/19/2020,6,0.094
6/17/2020,64.4,28,26.1,29.4,6.2,9.5,251,0.2,3.6,0,87.6,42.6,58,9,29.517,29.404,19.6,26.5,79.6,6/17/2020,6,0.113
6/18/2020,53.2,56,36.6,29.7,3.7,6.5,72,0.27,3.67,0,87.6,44.4,91,35,29.873,29.518,12.7,19.6,62.3,6/18/2020,6,0.355
6/16/2020,65.3,28,27.2,29.5,6.2,9.6,245,0.2,3.6,0,87.4,40.8,63,14,29.688,29.397,19.6,28.8,79.3,6/16/2020,6,0.291
6/15/2020,59.9,30,25.3,29.7,2,3.6,297,0.2,3.6,0,87.4,39.2,54,10,29.796,29.598,11.5,19.6,79.9,6/15/2020,6,0.198
6/13/2020,61.2,45,37.6,29.7,3.8,6.2,255,0.2,3.6,0,87.2,41.1,77,16,29.838,29.545,19.6,32.2,78.6,6/13/2020,6,0.293
6/14/2020,65.7,26,25.6,29.5,8,11.7,226,0.2,3.6,0,87.2,49.3,55,9,29.592,29.446,28.8,40.3,77.3,6/14/2020,6,0.146
6/11/2020,55,43,30.2,30.1,2.4,4.4,129,0.15,3.55,0,87.2,32.6,80,18,30.137,30.005,12.7,17.3,76,6/11/2020,6,0.132
6/12/2020,61.5,39,31.7,30,2.9,5,75,0.15,3.55,0,87.2,36,80,12,30.137,29.826,13.8,20.7,79,6/12/2020,6,0.311
6/10/2020,51.9,40,27.6,30,6.7,10.5,239,0.15,3.55,0,87.2,44.8,52,24,30.017,29.859,18.4,33.4,64.4,6/10/2020,6,0.158
6/9/2020,46.7,49,27.5,29.7,7.9,13.3,254,0.15,3.55,0,87.2,38.7,72,31,29.868,29.525,21.9,34.5,55,6/9/2020,6,0.343
6/8/2020,51.5,55,34.7,29.4,3.9,6.6,87,0.12,3.52,0,87.2,36.9,88,23,29.608,29.3,16.1,31.1,61.8,6/8/2020,6,0.308
6/3/2020,60,52,38,29.7,4.4,6.6,226,0.01,3.41,0,87.2,41.8,89,13,29.826,29.632,24.2,36.8,79,6/3/2020,6,0.194
6/4/2020,60.4,45,36.4,29.7,5.9,8.7,228,0.01,3.41,0,87.1,40.8,79,21,29.743,29.6,23,33.4,77.1,6/4/2020,6,0.143
6/5/2020,66.8,34,34.3,29.6,4,6.4,213,0.01,3.41,0,87,46.7,66,9,29.697,29.507,20.7,26.5,81.7,6/5/2020,6,0.19
6/6/2020,62.6,43,38.2,29.4,5.1,8,230,0.06,3.46,0,87,54.7,79,20,29.506,29.184,26.5,32.2,77.5,6/6/2020,6,0.322
6/7/2020,60,34,28.8,29.3,4,6.6,246,0.06,3.46,0,86.8,34.9,74,16,29.418,29.191,15,21.9,77.1,6/7/2020,6,0.227
6/2/2020,62.6,44,38.2,29.7,2.6,4.5,45,0,3.4,0,86.7,47.4,71,16,29.836,29.646,12.7,18.4,77.7,6/2/2020,6,0.19
6/1/2020,68.6,36,39.3,29.6,6.5,10.1,243,0,3.4,0,86.7,51.7,66,15,29.719,29.568,18.4,31.1,83,6/1/2020,6,0.151
5/31/2020,62.8,53,42.9,29.7,5.1,7.7,230,1,3.4,0,86.7,45.7,94,23,29.761,29.664,17.3,29.9,78,5/31/2020,5,0.097
5/30/2020,62.2,56,44.7,29.7,3.2,5.1,289,0.95,3.35,0,86.7,49.1,89,28,29.777,29.666,17.3,20.7,77.5,5/30/2020,5,0.111
5/29/2020,63.1,53,42.7,29.8,2.7,4.8,184,0.91,3.31,0,86.7,40.8,93,21,29.99,29.745,15,23,78.6,5/29/2020,5,0.245
5/28/2020,54.4,68,43.4,29.9,2.9,5.2,46,0.91,3.31,0,86.6,37.9,94,35,30.005,29.773,13.8,18.4,66,5/28/2020,5,0.232
5/27/2020,58.3,51,39.1,29.7,3.2,5,284,0.91,3.31,0,86.6,41.7,78,28,29.785,29.655,15,23,77,5/27/2020,5,0.13
5/25/2020,41.8,72,32.3,30,2.3,4,1,0.91,3.31,0,86.6,30.4,97,34,30.025,29.911,13.8,19.6,54.8,5/25/2020,5,0.114
5/26/2020,51.7,52,31.4,29.9,5.2,8.1,246,0.91,3.31,0,86.5,27,93,24,29.963,29.779,15,21.9,76.1,5/26/2020,5,0.184
5/24/2020,40.7,79,34.3,29.7,2.3,3.8,268,0.9,3.3,0,86.5,35.7,94,44,29.927,29.549,15,20.7,50.4,5/24/2020,5,0.378
5/23/2020,52.7,38,24.7,29.5,5.3,8.2,242,0.66,3.06,0,86.5,32.8,67,15,29.56,29.399,21.9,33.4,67.9,5/23/2020,5,0.161
5/22/2020,52.5,38,23.3,29.6,3.1,5.4,234,0.66,3.06,0,86.3,30.6,77,9,29.714,29.468,13.8,20.7,67.9,5/22/2020,5,0.246
5/21/2020,53.6,20,12.6,29.6,8.7,12.5,226,0.66,3.06,0,86.3,38.3,44,11,29.682,29.485,21.9,33.4,64.3,5/21/2020,5,0.197
5/18/2020,57.9,50,32.5,29.7,4.1,6.6,225,0.66,3.06,0,86.3,36.5,95,11,29.796,29.582,21.9,32.2,77,5/18/2020,5,0.214
5/19/2020,60.8,42,32.9,29.5,4.2,7,152,0.66,3.06,0,86.3,36.3,80,10,29.608,29.413,20.7,26.5,77.1,5/19/2020,5,0.195
5/20/2020,61.1,32,26.9,29.3,7.8,12.1,222,0.66,3.06,0,86.3,46.5,67,8,29.483,29.193,26.5,35.7,77.4,5/20/2020,5,0.29
5/16/2020,48.7,60,32.4,29.8,3.3,5.7,290,0.66,3.06,0,86.3,37,96,16,29.908,29.745,16.1,21.9,65.4,5/16/2020,5,0.163
5/17/2020,50.9,60,35.6,29.8,2.3,4.3,44,0.66,3.06,0,86.3,28.9,93,23,29.896,29.742,12.7,19.6,77.1,5/17/2020,5,0.154
5/15/2020,46.5,83,41.4,29.7,3.2,5.1,5,0.62,3.02,0,86.2,38.4,92,64,29.76,29.642,15,20.7,55.1,5/15/2020,5,0.118
5/14/2020,48.9,68,38.2,29.6,3.8,6.1,262,0.52,2.92,0,86.1,38.7,89,34,29.706,29.533,18.4,31.1,60.6,5/14/2020,5,0.173
5/13/2020,54.9,32,23.8,29.4,6.8,10.2,228,0.5,2.9,0,86.1,42.7,72,16,29.551,29.357,25.3,35.7,65.4,5/13/2020,5,0.194
5/12/2020,51.9,54,31.6,29.6,6.8,9.7,228,0.5,2.9,0,86.1,34.3,97,20,29.85,29.436,21.9,33.4,66.4,5/12/2020,5,0.414
5/10/2020,41.9,56,26.8,30,3.1,5.6,68,0.37,2.77,0,86.1,30.6,73,40,30.108,30.001,12.7,17.3,52.6,5/10/2020,5,0.107
5/11/2020,36.8,84,32.3,29.9,3.8,5.6,17,0.49,2.89,0,86.1,28.1,95,66,30.002,29.757,18.4,23,52,5/11/2020,5,0.245
5/6/2020,43.6,55,27,30,2,3.6,22,0.37,2.77,0,86.1,24.5,85,34,30.138,29.867,11.5,18.4,59.4,5/6/2020,5,0.271
5/7/2020,46.6,31,11.6,29.8,10.1,15.2,244,0.37,2.77,0,86.1,29.6,87,10,30.015,29.661,27.6,34.5,58.9,5/7/2020,5,0.354
5/8/2020,39.1,66,27.9,30,2.7,4.9,84,0.37,2.77,0,86.1,29.4,90,40,30.092,29.91,10.4,15,51.3,5/8/2020,5,0.182
5/9/2020,42.5,57,27.5,30,4.1,7,40,0.37,2.77,0,86,32.8,82,31,30.13,29.942,17.3,24.2,53.5,5/9/2020,5,0.188
5/3/2020,51.6,59,36.4,29.7,4.9,7.5,244,0.33,2.73,0,86,36.1,93,29,29.876,29.62,19.6,26.5,65.4,5/3/2020,5,0.256
5/4/2020,45.1,58,28.9,29.8,7.6,11.8,248,0.37,2.77,0,85.9,38.5,94,28,30.024,29.604,25.3,36.8,52.2,5/4/2020,5,0.42
5/5/2020,48.7,24,12.2,30,6.3,9.7,241,0.37,2.77,0,85.9,37.9,50,12,30.128,29.942,18.4,26.5,62.3,5/5/2020,5,0.186
5/2/2020,47.1,83,42,29.7,3.1,5,16,0.3,2.7,0,85.9,39.9,95,60,29.881,29.666,15,19.6,57.3,5/2/2020,5,0.215
4/28/2020,52.3,33,22.5,29.7,8.7,14.1,255,0.98,2.4,0,85.9,36.1,72,18,29.969,29.566,24.2,36.8,61.2,4/28/2020,4,0.403
4/29/2020,46.8,52,26.9,30,2.5,4.7,63,0.98,2.4,0,85.9,26.2,90,25,30.077,29.944,12.7,18.4,62.8,4/29/2020,4,0.133
4/30/2020,57.1,37,27.4,29.7,5.4,8.2,245,0.98,2.4,0,85.9,32.9,79,15,29.945,29.539,20.7,32.2,75.8,4/30/2020,4,0.406
5/1/2020,57.8,45,33.9,29.6,5.2,8,238,0,2.4,0,85.9,41.5,83,19,29.724,29.515,18.4,29.9,76.6,5/1/2020,5,0.209
4/27/2020,55,39,29.3,29.7,10,14.7,235,0.98,2.4,0,85.9,44.5,59,21,29.822,29.59,21.9,33.4,67.2,4/27/2020,4,0.232
4/22/2020,42.7,50,23.9,29.8,3.8,5.9,287,0.92,2.34,0,85.8,28.3,77,26,29.808,29.73,16.1,21.9,56.4,4/22/2020,4,0.078
4/23/2020,44.7,49,25.2,29.6,8.5,13,238,0.93,2.35,0,85.8,34.4,88,25,29.733,29.519,23,33.4,56.5,4/23/2020,4,0.214
4/24/2020,40.4,56,24.3,29.9,5,7.7,253,0.95,2.37,0,85.7,29.7,91,28,29.985,29.686,17.3,27.6,50.7,4/24/2020,4,0.299
4/25/2020,43.5,47,22.7,30,4.9,7.6,260,0.95,2.37,0,85.7,32.8,85,26,30.034,29.919,15,24.2,54,4/25/2020,4,0.115
4/26/2020,48.2,47,27.8,29.8,8,11.6,235,0.98,2.4,0,85.7,41.4,85,27,29.918,29.732,21.9,31.1,60.4,4/26/2020,4,0.186
4/21/2020,40.9,56,24.8,29.8,2.4,4,334,0.9,2.32,0,85.7,23.1,85,26,29.902,29.745,18.4,25.3,58.4,4/21/2020,4,0.157
4/20/2020,42.3,46,21.6,29.8,4.7,7.3,249,0.9,2.32,0,85.6,27.4,77,22,29.887,29.78,17.3,24.2,55.2,4/20/2020,4,0.107
4/16/2020,18.6,89,15.8,30,3.3,5.2,55,0.45,1.87,0,85.6,10.7,93,85,30.267,29.867,10.4,16.1,25.2,4/16/2020,4,0.4
4/17/2020,25.7,55,9.4,30.2,6.7,9.8,229,0.8,2.22,0,85.6,-1.3,91,29,30.31,30.02,20.7,32.2,42.4,4/17/2020,4,0.29
4/18/2020,35.4,68,25.2,29.8,3.9,5.7,248,0.88,2.3,0,85.6,23.9,94,42,30.016,29.699,16.1,21.9,44.6,4/18/2020,4,0.317
4/19/2020,38.6,58,22.6,29.8,5.2,8.1,245,0.9,2.32,0,85.5,27.3,94,22,29.824,29.732,20.7,28.8,51.6,4/19/2020,4,0.092
4/13/2020,11.7,84,7.8,30.2,2.2,3.4,41,0.18,1.6,0,85.5,4.6,88,77,30.386,30.154,8.1,11.5,17.6,4/13/2020,4,0.232
4/14/2020,18.4,59,4.8,30.3,6.7,10.5,242,0.3,1.72,0,85.5,-3.9,88,32,30.425,30.147,19.6,31.1,34.2,4/14/2020,4,0.278
4/15/2020,30.1,65,19.1,29.9,6,9,205,0.45,1.87,0,85.5,25.1,92,39,30.151,29.812,17.3,25.3,42,4/15/2020,4,0.339
4/6/2020,46.7,31,13.7,29.6,10,14.1,225,0.14,1.56,0,85.5,27.2,73,13,29.685,29.585,25.3,34.5,58.7,4/6/2020,4,0.1
4/7/2020,51,20,10.6,29.6,9.5,14.5,233,0.14,1.56,0,85.5,43.6,30,11,29.691,29.573,21.9,33.4,59.8,4/7/2020,4,0.118
4/8/2020,46.5,33,16.5,29.8,5.5,8.7,258,0.14,1.56,0,85.5,30.4,62,14,29.888,29.678,20.7,29.9,60.9,4/8/2020,4,0.21
4/9/2020,37,63,24.8,29.9,2.7,5,58,0.14,1.56,0,85.5,22.4,86,41,29.967,29.872,13.8,19.6,50.4,4/9/2020,4,0.095
4/10/2020,45.1,48,23.5,29.7,9.1,13,235,0.14,1.56,0,85.4,26.2,92,15,29.931,29.564,26.5,34.5,60.7,4/10/2020,4,0.367
4/11/2020,46.9,34,17.4,29.4,8.7,13,237,0.15,1.57,0,85.4,36.2,86,13,29.566,29.273,21.9,33.4,59.1,4/11/2020,4,0.293
4/12/2020,17.4,86,13.9,29.7,2.2,3.6,38,0.18,1.6,0,85.3,12.5,93,80,30.151,29.316,8.1,11.5,37.5,4/12/2020,4,0.835
4/5/2020,40.1,55,21.8,29.7,5.6,8.2,238,0.14,1.56,0,85.3,24.7,90,21,29.743,29.594,20.7,31.1,56.2,4/5/2020,4,0.149
4/4/2020,34.5,61,20.2,29.9,4.8,7,227,0.14,1.56,0,85.3,15.6,92,27,30.094,29.745,20.7,28.8,49.4,4/4/2020,4,0.349
4/2/2020,23,88,20,29.7,3.7,6.2,49,0,1.42,0,85.2,13.7,94,78,30.091,29.37,13.8,18.4,36.8,4/2/2020,4,0.721
4/3/2020,20.3,81,15.4,30.2,1.9,3.6,53,0.12,1.54,0,85.1,6.2,92,69,30.256,30.09,11.5,16.1,29.3,4/3/2020,4,0.166
3/31/2020,43.7,40,20.5,29.8,9.8,14.1,224,0.93,1.42,0,85.1,31.9,55,28,29.95,29.6,24.2,38,53.2,3/31/2020,3,0.35
4/1/2020,46.8,41,22.7,29.4,8.7,12.2,213,0,1.42,0,85.1,36.6,79,20,29.606,29.349,24.2,31.1,57.1,4/1/2020,4,0.257
3/30/2020,35.6,50,16.9,29.9,4.1,6.7,254,0.93,1.42,0,85.1,21.2,82,23,29.982,29.869,15,23,49.5,3/30/2020,3,0.113
3/29/2020,33.7,43,12.8,30,7.6,11,229,0.93,1.42,0,85.1,26.1,69,27,30.042,29.906,19.6,28.8,43.8,3/29/2020,3,0.136
3/28/2020,27.6,49,10.4,29.9,10.8,16.1,239,0.92,1.41,0,85,20.8,91,30,30.01,29.645,23,33.4,37.3,3/28/2020,3,0.365
3/27/2020,29.8,84,25.5,29.5,2.4,4,45,0.91,1.4,0,84.9,23.9,93,61,29.648,29.43,9.2,12.7,34.7,3/27/2020,3,0.218
3/23/2020,34,62,21.9,29.9,5.4,7.8,232,0.83,1.32,0,84.9,24.4,81,36,30.03,29.73,19.6,26.5,44.7,3/23/2020,3,0.3
3/24/2020,39.9,48,21.1,29.7,10.4,14.7,233,0.83,1.32,0,84.9,32,71,30,29.812,29.658,24.2,35.7,47.4,3/24/2020,3,0.154
3/25/2020,41.7,42,19.5,29.5,6.9,10.2,234,0.83,1.32,0,84.9,32.1,59,25,29.658,29.494,23,32.2,48.3,3/25/2020,3,0.164
3/26/2020,39.9,48,16.8,29.5,8.8,12.7,234,0.83,1.32,0,84.9,27,83,14,29.541,29.393,26.5,38,52.8,3/26/2020,3,0.148
3/22/2020,30.7,63,18,30,5.2,7.8,243,0.83,1.32,0,84.9,18.5,93,32,30.034,29.894,19.6,31.1,41.6,3/22/2020,3,0.14
3/21/2020,32.5,58,18.6,30.1,6.5,9.9,249,0.83,1.32,0,84.8,22.1,87,32,30.282,29.95,23,33.4,44.6,3/21/2020,3,0.332
3/18/2020,38.8,51,19.9,29.6,2.6,4.4,90,0.31,0.8,0,84.8,24.8,94,21,29.688,29.506,17.3,27.6,52.6,3/18/2020,3,0.182
3/19/2020,28.5,93,26.6,29.7,2.8,4.5,37,0.42,0.91,0,84.7,18.1,96,84,30.199,29.438,17.3,24.2,32.6,3/19/2020,3,0.761
3/20/2020,19.9,87,16.5,30.3,1.9,3.1,21,0.65,1.14,0,84.7,12.2,94,76,30.333,30.199,9.2,11.5,29.7,3/20/2020,3,0.134
3/15/2020,40.6,49,20.3,30,6.7,9.7,234,0.25,0.74,0,84.7,24.8,93,23,30.08,29.855,19.6,27.6,54.6,3/15/2020,3,0.225
3/16/2020,40.6,50,20.1,29.9,6.1,8.9,228,0.25,0.74,0,84.7,29.2,94,14,29.937,29.822,17.3,26.5,53.9,3/16/2020,3,0.115
3/17/2020,40,57,21.2,29.7,4.4,6.6,234,0.25,0.74,0,84.7,29.6,94,16,29.909,29.633,23,33.4,56.7,3/17/2020,3,0.276
3/14/2020,36.6,71,27,30.1,5.4,8.2,352,0.25,0.74,0,84.7,26.5,93,31,30.109,29.809,16.1,24.2,49.6,3/14/2020,3,0.3
3/11/2020,42,50,23.8,29.8,12.1,17.8,234,0.12,0.61,0,84.7,36.8,87,35,29.986,29.532,28.8,41.4,51.2,3/11/2020,3,0.454
3/12/2020,36.3,63,24,29.7,9.9,15.2,238,0.12,0.61,0,84.7,24,91,32,29.887,29.499,34.5,49.5,48.5,3/12/2020,3,0.388
3/13/2020,26.5,87,23.1,29.9,2,3.5,49,0.12,0.61,0,84.7,24,93,76,29.904,29.77,8.1,12.7,32.6,3/13/2020,3,0.134
3/7/2020,38.4,48,17.7,29.8,5.6,8,228,0.04,0.53,0,84.7,25.6,75,18,30.014,29.699,21.9,28.8,54.8,3/7/2020,3,0.315
3/8/2020,43.9,49,23.6,29.6,9.6,14.4,238,0.08,0.57,0,84.7,25.6,92,23,29.717,29.542,27.6,44.9,55.7,3/8/2020,3,0.175
3/9/2020,37.7,61,23.5,29.8,7.1,10.2,247,0.09,0.58,0,84.5,28.4,95,33,29.993,29.647,17.3,23,47,3/9/2020,3,0.346
3/10/2020,38.2,58,24.3,29.9,10.6,15.4,234,0.09,0.58,0,84.5,31.5,89,40,30.006,29.885,26.5,41.4,43.3,3/10/2020,3,0.121
3/1/2020,28.7,66,17.8,29.7,4.1,6.5,34,0,0.49,0,84.5,17.1,90,36,29.903,29.622,16.1,23,38.2,3/1/2020,3,0.281
3/2/2020,26.4,52,8.1,29.8,12.5,18.2,238,0.04,0.53,0,84.5,9.8,93,17,29.886,29.706,29.9,44.9,37.9,3/2/2020,3,0.18
3/3/2020,36,37,11.5,29.8,12.6,17.9,229,0.04,0.53,0,84.5,27,48,14,29.975,29.732,26.5,42.6,53.2,3/3/2020,3,0.243
3/4/2020,38.8,24,2.3,29.9,12,17.9,238,0.04,0.53,0,84.5,22,50,8,29.987,29.797,29.9,49.5,50.5,3/4/2020,3,0.19
3/5/2020,37.2,35,11.8,30,11.4,16.8,225,0.04,0.53,0,84.5,34.3,43,29,30.125,29.96,21.9,33.4,42.6,3/5/2020,3,0.165
3/6/2020,32.3,53,16.9,30.1,1.5,2.4,252,0.04,0.53,0,84.5,26.6,68,30,30.118,30.014,11.5,18.4,42.6,3/6/2020,3,0.104
2/26/2020,23.6,39,2,30.3,13.5,19.3,229,0.48,0.49,0,84.5,9.6,56,23,30.502,30.156,26.5,36.8,33.4,2/26/2020,2,0.346
2/27/2020,30.9,41,8.6,30.2,11.7,18.4,248,0.48,0.49,0,84.5,23.9,81,23,30.196,30.111,23,41.4,38.3,2/27/2020,2,0.085
2/28/2020,37.7,30,8.3,30.1,11,15.9,224,0.48,0.49,0,84.5,29.5,38,21,30.194,29.97,24.2,42.6,47,2/28/2020,2,0.224
2/29/2020,37.6,31,8.7,29.8,8,11.6,236,0.48,0.49,0,84.5,26.1,57,20,29.972,29.647,19.6,31.1,48.1,2/29/2020,2,0.325
2/25/2020,16.6,42,-2.8,30.3,6,9.2,281,0.48,0.49,0,84.5,9.3,50,30,30.509,30.008,17.3,26.5,23.9,2/25/2020,2,0.501
2/20/2020,12,64,0.6,30.7,1.3,2.3,303,0.46,0.47,0,84.4,-12.2,84,18,30.848,30.616,10.4,13.8,38.5,2/20/2020,2,0.232
2/21/2020,35.3,24,-0.7,30.3,9.1,12.8,234,0.46,0.47,0,84.3,7.1,70,7,30.638,30.048,19.6,26.5,46.7,2/21/2020,2,0.59
2/22/2020,38.7,41,15.8,29.9,9.1,12.7,240,0.46,0.47,0,84.3,27.8,69,24,30.051,29.765,24.2,34.5,50.6,2/22/2020,2,0.286
2/23/2020,29.4,72,21.2,29.8,2.1,3.5,272,0.48,0.49,0,84.3,19.5,90,40,29.9,29.786,26.5,32.2,36.6,2/23/2020,2,0.114
2/24/2020,24.5,51,8.5,29.8,7.8,11.9,244,0.48,0.49,0,84.3,17,85,37,30.016,29.669,24.2,34.5,34.3,2/24/2020,2,0.347
2/17/2020,24,61,12,29.9,6.2,9.3,242,0.41,0.42,0,84.3,16.6,92,45,30.114,29.695,19.6,28.8,28.1,2/17/2020,2,0.419
2/18/2020,16,51,-0.2,30.3,3.8,5.9,251,0.41,0.42,0,84.3,2.9,74,24,30.336,30.083,16.1,26.5,29,2/18/2020,2,0.253
